team,id,name,position,jersey,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns
Ole Miss,73669313-e37e-4e94-81d5-891674b8e966,J.J. Henry,WR,4,5.0,12.0,56.0,11.2,22.0,0.0,0.0,58.0,0.0,-2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,0.0,30.0,21.0,0.0,0.0,2.0,-2.0,1.0,,,,,,,,,,,,,,,,,
Ole Miss,7480c414-4538-42fc-8830-8ac69a713645,Deantre Prince,CB,,,,,,,,,,,,,28.0,10.0,38.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,77066866-7111-4e22-9e46-27a4835a79e2,Hamilton Hall,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,7783bc30-863a-11ec-ac3f-2f01cb0af5e4,Davison Igbinosun,CB,,,,,,,,,,,,,23.0,12.0,35.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,79877855-d615-4777-baeb-0ed95d2021fc,Jakivuan Brown,DE,,,,,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,7f4997b0-8639-11ec-ac3f-2f01cb0af5e4,Taylor Groves,SAF,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,80ccf1bb-0e6c-423d-aab4-ef2ff2c8e6b2,Dayton Wade,WR,,27.0,37.0,309.0,11.444,39.0,3.0,35.0,309.0,6.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.667,9.0,0.0,78.0,36.0,0.0,0.0,1.0,-2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ole Miss,81f1c9c0-8638-11ec-ac3f-2f01cb0af5e4,Nick Cull,SAF,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,87c3d653-a908-4a44-85e5-6403f1612097,Otis Reese,SAF,0,,,,,,,,,,,,33.0,35.0,68.0,3.0,23.0,1.0,2.0,0.0,1.0,4.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,87dd4e80-0771-11ed-a794-5fe916135ce6,Trace Campbell,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,89bddf83-7c6e-45f3-9529-0e7936b4bd35,Austin Keys,LB,6,,,,,,,,,,,,14.0,19.0,33.0,2.0,12.0,0.0,0.0,1.0,0.0,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,8abbbc2c-acd1-4331-86df-6b5c2dd2e75a,Kentrel Bullock,RB,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,8daf0263-24c2-4a17-8d5c-e48ba49cfb75,Jordan Watkins,WR,11,40.0,57.0,449.0,11.225,61.0,2.0,61.0,449.0,9.0,0.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,2.0,0.0,-3.0,0.0,0.0,1.0,1.0,-3.0,0.0,1.0,1.0,100.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,133.6,0.0,0.0,0.0,4.0,0.0,0.0
Ole Miss,8dc5db62-9f46-42fb-b83a-d0cfeaa376d8,Tavius Robinson,DE,95,,,,,,,,,,,,17.0,23.0,40.0,7.0,56.5,0.0,0.0,5.0,2.0,9.0,3.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,8fc0d27c-41fc-46f1-937b-2f6b6f99dbb2,Erick Cade,OL,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,95e1f900-234a-11ed-8e1e-812349f8e9b9,Charlie Pollock,P,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,97abd62a-997e-4354-86e3-9d522415e2ca,Daniel Newman,SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,9d4aad26-d573-4a4f-9315-e2b5d5055df3,Brandon Mack II,LB,4,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,9e526500-234c-11ed-8e1e-812349f8e9b9,Christian Schanefelt,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,9f8b8c42-d514-4728-b42d-1dcf18c3e30e,Elijah Sabbatini,SAF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,a0bf4610-daad-11ec-9fbe-d764b66afc75,Matt Ware,TE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,a3310303-deb8-459d-80f6-673bb32b1908,Ladarius Tennison,DB,,,,,,,,,,,,,26.0,22.0,48.0,1.0,9.0,0.0,0.0,0.0,2.0,1.0,9.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,a355ccdb-457f-4255-aa11-03836cd42fa5,Miles Battle,CB,,,,,,,,,,,,,18.0,9.0,27.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,a8cbbc44-11dd-488a-8745-ae3ebdf87ca9,Trey Washington,SAF,25,,,,,,,,,,,,20.0,9.0,29.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,a9d4a6c0-0774-11ed-9ff7-c99a54d07a0f,Alec Grijalva,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,ad9dcea0-0772-11ed-9d37-15b02999c0f4,Trip White,LB,30,,,,,,,,,,,,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,b0c3a640-863a-11ec-ac3f-2f01cb0af5e4,Quinshon Judkins,RB,,15.0,20.0,132.0,8.8,25.0,1.0,7.0,132.0,2.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.719,274.0,16.0,1567.0,61.0,48.0,75.0,27.0,-45.0,79.0,1.0,1.0,100.0,7.0,7.0,0.0,0.0,0.0,7.0,0.0,158.8,0.0,0.0,0.0,7.0,0.0,0.0
Ole Miss,b0cc9849-8647-4082-8f7e-21cf3586ab1d,Caden Costa,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,b1ab51b0-863b-11ec-ac3f-2f01cb0af5e4,Jaron Willis,LB,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,b3bf4bf1-a170-46dc-86bb-43dfee79df7d,Luke Altmyer,QB,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,4.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,17.0,8.0,47.059,125.0,7.353,1.0,8.0,2.0,36.0,1.0,135.88,7.0,0.0,6.0,125.0,5.0,0.0
Ole Miss,b4258025-0779-410b-9c2b-3c90a67eefd3,Bralon Brown,WR,8,1.0,2.0,11.0,11.0,11.0,0.0,0.0,11.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,b4325ca0-8639-11ec-ac3f-2f01cb0af5e4,Zxavian Harris,DT,51,,,,,,,,,,,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,b6468f6a-404d-46f6-b1c4-af52fbf93359,Zach Evans,RB,0,12.0,19.0,119.0,9.917,23.0,1.0,23.0,119.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,144.0,9.0,936.0,48.0,48.0,28.0,13.0,-27.0,50.0,,,,,,,,,,,,,,,,,
Ole Miss,b8e4f10d-6673-4f1b-b751-17cd5537f23c,Lex Boucvalt,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,bce63403-1e68-4db1-af35-8d12e5e86c09,Kinkead Dent,QB,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,60.0,7.0,1.4,0.0,0.0,0.0,7.0,0.0,71.76,0.0,-2.0,0.0,7.0,0.0,0.0
Ole Miss,bd3943a0-8638-11ec-ac3f-2f01cb0af5e4,Preston Cushman,OL,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,c3278718-81ab-4716-949e-754d3cbae643,Jonathan Cruz,K,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,c5bfcc2e-c7a8-4f80-b5b1-4b1a25e87054,Rayf Vinson,WR,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,c6033efc-83b2-4720-9e6d-724a535e8807,Khari Coleman,LB,,,,,,,,,,,,,23.0,16.0,39.0,4.5,34.5,0.0,0.0,1.0,0.0,5.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,cab11346-097a-48b5-ae29-ca2e676696e1,AJ Finley,SAF,0,,,,,,,,,,,,42.0,27.0,69.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,cb57dd1f-2686-4d5c-b5a6-4d0fd420b433,John Porchivina,LB,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,cd8e15dd-ffd9-4c61-935b-8abc2c215454,Malik Heath,WR,0,60.0,88.0,971.0,16.183,53.0,5.0,31.0,971.0,11.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,d4ffdbb0-0771-11ed-9d37-15b02999c0f4,Roman Rashada,DB,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,d756e0d6-85d5-4ab7-acdf-e629a0523f59,Ulysses Bentley IV,RB,,1.0,3.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.563,16.0,4.0,73.0,17.0,15.0,11.0,2.0,-4.0,5.0,,,,,,,,,,,,,,,,,
Ole Miss,d9861530-0773-11ed-9ff7-c99a54d07a0f,Zaid Warren,LB,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,dc005751-8d9a-4440-bf08-4d0140ac71a7,Cedric Melton,OL,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,dd1425b9-4470-49cc-9e48-84d303a55dcd,Cedric Johnson,DE,,,,,,,,,,,,,13.0,16.0,29.0,4.0,22.0,0.0,0.0,0.0,1.0,5.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,e1ccaae0-8638-11ec-ac3f-2f01cb0af5e4,Jeremiah Dillon,WR,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,e23c1d10-0772-11ed-9ff7-c99a54d07a0f,Harrison Craig,SAF,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,e86e78ae-22d7-4fc2-8a47-4f19614beaba,Jayden Williams,OL,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,e8990b30-8637-11ec-ac3f-2f01cb0af5e4,Tyler Banks,LB,34,,,,,,,,,,,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,ea1376d9-bcb7-48d4-935d-41e49cd507a1,Caleb Warren,OL,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,eaf01bdc-5c53-4baa-b980-9967d5dc00da,Troy Brown,LB,0,,,,,,,,,,,,42.0,33.0,75.0,0.5,5.5,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,ebc40cdd-41ab-4ed2-8d97-5eaabc16b431,Micah Pettus,OL,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,ec627a4c-b61a-446a-935e-ddd1f84151b4,Qua Davis,WR,,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,ecf5155c-3160-4298-9d87-5772777ca3a9,Tobias Braun,OL,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,f19a5564-815f-4dcc-adcd-3cbe1514c3ca,Dashaun Jerkins,SAF,,,,,,,,,,,,,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,f6490480-0772-11ed-9ff7-c99a54d07a0f,Trustin Northington,SAF,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,f74b1d91-a102-4121-833b-039338be8d1c,DJ Ruff,TE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,f763537b-5570-4bcc-ba16-12005a46c2dd,Hudson Wolfe,TE,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,fa699527-0702-4d6d-90b9-2723030af01c,J.J. Hawkins,DL,55,,,,,,,,,,,,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,fbfe3164-6988-420d-a78d-83f2afdaf95b,Michael Trigg,TE,1,17.0,27.0,156.0,9.176,28.0,3.0,7.0,156.0,10.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,fe2c6152-a31b-409e-bb23-3f38adfd423e,Jonathan Mingo,WR,0,51.0,89.0,861.0,16.882,72.0,5.0,72.0,861.0,21.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,-1.75,4.0,1.0,-7.0,2.0,2.0,2.0,2.0,-9.0,0.0,,,,,,,,,,,,,,,,,
Ole Miss,ff22d220-863a-11ec-ac3f-2f01cb0af5e4,Fraser Masin,P,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
